Order Number,Purchase Confirmation Date
201707240088517,"20,170,727"
201707018889790,"20,170,701"
201707079264675,"20,170,707"
201707209945714,"20,170,722"
201707220002354,"20,170,802"
201707149671962,"20,170,714"
201707039018928,"20,170,703"
201707079291011,"20,170,707"
201706218386960,"20,170,703"
201707230047939,"20,170,729"
201707290319042,"20,170,729"
201707149655300,"20,170,718"
201707069213970,"20,170,706"
201707280256531,"20,170,728"
201707089374321,"20,170,708"
201707049078927,"20,170,709"
201707189834277,"20,170,718"
201707219967054,"20,170,728"
201707079311956,"20,170,707"
201707099393585,"20,170,710"
201707028960914,"20,170,702"
201707290308500,"20,170,809"
201707300334644,"20,170,730"
201707310357863,"20,170,731"
201707049083667,"20,170,704"
201707149702464,"20,170,715"
201707119487446,"20,170,711"
201707129559553,"20,170,712"
201707069220750,"20,170,709"
201707049090318,"20,170,704"
201707280279621,"20,170,803"
201707139641401,"20,170,720"
201707250148954,"20,170,725"
201707039065481,"20,170,703"
201707219954766,"20,170,721"
201707039041128,"20,170,703"
201707079272280,"20,170,710"
201707149673613,"20,170,726"
201707310396963,"20,170,809"
201707018906755,"20,170,726"
201707119508928,"20,170,711"
201707159727753,"20,170,717"
201707109452587,"20,170,710"
201707099390260,"20,170,718"
201707099397924,"20,170,709"
201707079271930,"20,170,718"
201707310358167,"20,170,731"
201707028979666,"20,170,702"
201707109459648,"20,170,710"
201708080665846,"20,170,816"
201708120799765,"20,170,815"
201708100736231,"20,170,810"
201708130817233,"20,170,822"
201708291193006,"20,170,906"
201708150868480,"20,170,815"
201708150872268,"20,170,815"
201708070619338,"20,170,815"
201708311242670,"20,170,831"
201708251121122,"20,170,825"
201708221046603,"20,170,822"
201708010424813,"20,170,803"
201708050564818,"20,170,805"
201708090686639,"20,170,814"
201708311242781,"20,170,831"
201708251105315,"20,170,825"
201708110760749,"20,170,811"
201708010413399,"20,170,809"
201708140827108,"20,170,816"
201708110768221,"20,170,816"
201708080655115,"20,170,811"
201708090703004,"20,170,809"
201708040545852,"20,170,804"
201708261130573,"20,170,826"
201708060592003,"20,170,806"
201708221046695,"20,170,822"
201708080665536,"20,170,816"
201708231063030,"20,170,823"
201708261129031,"20,170,826"
201708040543152,"20,170,810"
201708140836517,"20,170,824"
201708060586340,"20,170,808"
201708301215689,"20,170,830"
201708291202103,"20,170,829"
201708030503600,"20,170,810"
201708160895926,"20,170,816"
201708140852448,"20,170,814"
201708221050976,"20,170,824"
201708251108237,"20,170,825"
201708010412744,"20,170,809"
201708140852278,"20,170,814"
201708311235472,"20,170,906"
201708100734742,"20,170,810"
201708140847796,"20,170,814"
201708150867235,"20,170,815"
201708200988689,"20,170,820"
201708231075619,"20,170,823"
201708020448566,"20,170,802"
201708090684838,"20,170,809"
201708070624477,"20,170,807"
201708271152072,"20,170,831"
201708210996281,"20,170,821"
201708090681040,"20,170,809"
201709241731825,"20,170,924"
201709021277460,"20,170,909"
201709241729094,"20,171,011"
201709201670584,"20,170,927"
201709101481639,"20,170,915"
201709051353191,"20,170,905"
201709031301986,"20,170,913"
